,0
2025-01-02,1.0
2025-01-03,1.0
2025-01-06,1.0
2025-01-07,1.0
2025-01-08,1.0
2025-01-09,1.0
2025-01-10,1.0
2025-01-13,1.0
2025-01-14,1.0
2025-01-15,1.0
2025-01-16,1.0
2025-01-17,1.0
2025-01-20,1.0
2025-01-21,1.0
2025-01-22,1.0
2025-01-23,1.0
2025-01-24,1.0
2025-01-27,1.0
2025-02-05,1.0
2025-02-06,1.0
2025-02-07,0.9996749739999999
2025-02-10,1.001341774
2025-02-11,1.001341774
2025-02-12,1.004397574
2025-02-13,0.9974525739999999
2025-02-14,0.998841574
2025-02-17,1.0046753739999998
2025-02-18,0.9993971739999998
2025-02-19,1.016620774
2025-02-20,1.01954897018
2025-02-21,1.03814217018
2025-02-24,1.03319717018
2025-02-25,1.02805437018
2025-02-26,1.02889712986
2025-02-27,1.0233635838599997
2025-02-28,1.0034335433799997
2025-03-03,1.0009444092999997
2025-03-04,0.9965465445599998
2025-03-05,0.9998688029599998
2025-03-06,1.0095312651199997
2025-03-07,1.0063980734799998
2025-03-10,1.0026213316399997
2025-03-11,1.0012353316399996
2025-03-12,0.9994533316399996
2025-03-13,0.9914873564799996
2025-03-14,0.9947207947799998
2025-03-17,0.9937353229799998
2025-03-18,0.9926423045399998
2025-03-19,0.9906138484799997
2025-03-20,0.9893025450799996
2025-03-21,0.9888180588599995
2025-03-24,0.9894300588599996
2025-03-25,0.9902868588599996
2025-03-26,0.9899196588599997
2025-03-27,0.9902868588599996
2025-03-28,0.9898285860599997
2025-03-31,0.9898285860599997
2025-04-01,0.9903847860599996
2025-04-02,0.9914971860599996
2025-04-03,0.9921723885599997
2025-04-07,0.9836323885599997
2025-04-08,0.9869923885599996
2025-04-09,0.9865723885599996
2025-04-10,0.9872723885599997
2025-04-11,0.9868523885599997
2025-04-14,0.9879723885599997
2025-04-15,0.9895123885599997
2025-04-16,0.9908372371199997
2025-04-17,0.9910290371199997
2025-04-18,0.9916044371199997
2025-04-21,0.9904536371199997
2025-04-22,0.9917962371199998
2025-04-23,0.9908372371199997
2025-04-24,0.9927552371199997
2025-04-25,0.9925634371199996
2025-04-28,0.9935224371199997
2025-04-29,0.9929470371199997
2025-04-30,0.9894946371199996
2025-05-06,0.9889103591399997
2025-05-07,0.9884921591399997
2025-05-08,0.9886871591399996
2025-05-09,0.9850079591399997
2025-05-12,0.9867005591399997
2025-05-13,0.9854864895399997
2025-05-14,0.9863853069799997
2025-05-15,0.9849117069799997
2025-05-16,0.9847275069799998
2025-05-19,0.9846661069799998
2025-05-20,0.9850345069799998
2025-05-21,0.9848503069799998
2025-05-22,0.9844205069799998
2025-05-23,0.9837451069799998
2025-05-26,0.9839907069799998
2025-05-27,0.9827318468199998
2025-05-28,0.9812035255599999
2025-05-29,0.9805270897199998
2025-05-30,0.9805270897199998
2025-06-03,0.9805270897199998
2025-06-04,0.9805270897199998
2025-06-05,0.9805270897199998
2025-06-06,0.9805270897199998
2025-06-09,0.9805270897199998
2025-06-10,0.9805270897199998
2025-06-11,0.9805270897199998
2025-06-12,0.9805270897199998
2025-06-13,0.9805270897199998
2025-06-16,0.9805270897199998
2025-06-17,0.9805270897199998
2025-06-18,0.9805270897199998
2025-06-19,0.9802480218399997
2025-06-20,0.9781760160399998
2025-06-23,0.9799503587799997
2025-06-24,0.9837401587799997
2025-06-25,0.9898455587799997
2025-06-26,0.9888917587799998
2025-06-27,0.9885387587799997
2025-06-30,0.9900690253799996
2025-07-01,0.9894082253799997
2025-07-02,0.9869850253799997
2025-07-03,0.9882351739999996
2025-07-04,0.9881867739999997
2025-07-07,0.9874582755599997
2025-07-08,0.9896074755599997
2025-07-09,0.9893716755599996
2025-07-10,0.9910630755599997
2025-07-11,0.9928294755599997
2025-07-14,0.9924340755599996
2025-07-15,0.9913741789199997
2025-07-16,0.9912881789199997
2025-07-17,0.9930161789199996
2025-07-18,0.9940189789199997
2025-07-21,0.9959339789199997
2025-07-22,0.9973783789199997
2025-07-23,0.9975323789199997
2025-07-24,1.0008665789199997
2025-07-25,1.0005325789199997
2025-07-28,1.0016297789199997
2025-07-29,1.0026925789199999
2025-07-30,1.0010741789199997
2025-07-31,0.9974388631399996
2025-08-01,0.9955024631399997
2025-08-04,0.9974074908999997
2025-08-05,0.9980960908999997
2025-08-06,1.0013492618599997
2025-08-07,1.0008518618599997
2025-08-08,0.9979688316599997
2025-08-11,0.9992352316599997
2025-08-12,1.0065299153399996
2025-08-13,1.0141428339799998
2025-08-14,1.0142208395799999
2025-08-15,1.0229174395799998
2025-08-18,1.02766716774
2025-08-19,1.0264107677399998
2025-08-20,1.03137016774
2025-08-21,1.03082476774
2025-08-22,1.04397396774
2025-08-25,1.0484145677399999
2025-08-26,1.04626256774
2025-08-27,1.0450955677399998
2025-08-28,1.0550803677399998
2025-08-29,1.05179116774
2025-09-01,1.05545096774
2025-09-02,1.0486742644
2025-09-03,1.0446427902
2025-09-04,1.03985066064
2025-09-05,1.0395508471
2025-09-08,1.0373290471
2025-09-09,1.0340488471
2025-09-10,1.0364986471
2025-09-11,1.04517529524
2025-09-12,1.04459896318
2025-09-15,1.04556528036
2025-09-16,1.0499229902400002
2025-09-17,1.05191279024
2025-09-18,1.05293559024
2025-09-19,1.0494981902400002
2025-09-22,1.0592347902400001
2025-09-23,1.0579761902400002
2025-09-24,1.0678391902400002
2025-09-25,1.07208159024
2025-09-26,1.06479439024
2025-09-29,1.0686865815000004
2025-09-30,1.0663267815000004
2025-10-09,1.06741096498
2025-10-10,1.0556108335800003
