,0
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,1.0
2022-02-15,0.99967493812
2022-02-16,1.00280993812
2022-02-17,1.00381313812
2022-02-18,1.01334353812
2022-02-21,1.01973893812
2022-02-22,1.0198643381199999
2022-02-23,1.01650718728
2022-02-24,1.01326318728
2022-02-25,1.012193818
2022-02-28,1.0179858179999999
2022-03-01,1.011503373
2022-03-02,1.0162823730000001
2022-03-03,1.018977573
2022-03-04,1.01644559312
2022-03-07,1.01641475936
2022-03-08,0.9982135343999999
2022-03-09,0.99858804658
2022-03-10,0.9972489121399999
2022-03-11,0.9981789234999999
2022-03-14,0.9908323434999999
2022-03-15,0.9646925198999999
2022-03-16,0.9714039842399999
2022-03-17,0.97554438424
2022-03-18,0.97662658424
2022-03-21,0.97627898424
2022-03-22,0.97430718424
2022-03-23,0.97590178424
2022-03-24,0.97404698424
2022-03-25,0.9689576108599999
2022-03-28,0.97364158404
2022-03-29,0.97501843054
2022-03-30,0.9802994091400001
2022-03-31,0.98049234166
2022-04-01,0.98314194166
2022-04-06,0.9827255416600001
2022-04-07,0.97912294166
2022-04-08,0.98083694166
2022-04-11,0.9742861416599999
2022-04-12,0.9776655416600001
2022-04-13,0.9760437416600001
2022-04-14,0.97794371678
2022-04-15,0.9767917167799999
2022-04-18,0.97521631678
2022-04-19,0.9740489167799999
2022-04-20,0.9674757709399999
2022-04-21,0.9636063709399998
2022-04-22,0.96521177094
2022-04-25,0.9548211769399999
2022-04-26,0.9497727769400001
2022-04-27,0.9512002387199998
2022-04-28,0.9521827960199998
2022-04-29,0.9569537032599998
2022-05-05,0.9556901032599999
2022-05-06,0.9504581032599999
2022-05-09,0.9490835935999998
2022-05-10,0.9549551935999999
2022-05-11,0.9621291935999999
2022-05-12,0.9629215936
2022-05-13,0.9643757935999998
2022-05-16,0.9615565935999999
2022-05-17,0.9658119935999999
2022-05-18,0.9653841935999998
2022-05-19,0.9684601935999999
2022-05-20,0.9741065936
2022-05-23,0.9743861935999999
2022-05-24,0.9613949935999999
2022-05-25,0.9645525935999999
2022-05-26,0.9660497936
2022-05-27,0.9657949935999999
2022-05-30,0.9689485935999999
2022-05-31,0.9760687936
2022-06-01,0.9765593935999999
2022-06-02,0.9820851935999999
2022-06-06,0.9925081935999999
2022-06-07,0.9916943935999999
2022-06-08,0.9939793935999999
2022-06-09,0.9861397222399999
2022-06-10,0.9979853222399998
2022-06-13,0.9913578292599998
2022-06-14,0.9916204292599999
2022-06-15,0.9931110292599998
2022-06-16,0.9945806292599998
2022-06-17,1.00090122926
2022-06-20,1.00341842926
2022-06-21,1.0011824292599998
2022-06-22,0.9950966292599999
2022-06-23,1.0035000292599998
2022-06-24,1.0094388292599998
2022-06-27,1.0123530292599998
2022-06-28,1.0177632292599998
2022-06-29,1.0098142292599999
2022-06-30,1.0149768292599999
2022-07-01,1.0132238292599998
2022-07-04,1.0165431930999997
2022-07-05,1.0151551930999998
2022-07-06,1.0114187930999998
2022-07-07,1.0134205930999998
2022-07-08,1.0121557930999998
2022-07-11,1.00569406514
2022-07-12,0.9997916651399998
2022-07-13,1.00352406514
2022-07-14,1.00960006514
2022-07-15,1.0048260651399998
2022-07-18,1.0080376651399998
2022-07-19,1.0033529427
2022-07-20,1.0062655364600002
2022-07-21,1.00565173646
2022-07-22,1.00376593646
2022-07-25,1.00158293646
2022-07-26,1.00409073646
2022-07-27,1.00494253646
2022-07-28,1.00688733646
2022-07-29,1.00408953646
2022-08-01,1.00611353646
2022-08-02,1.0012855364600002
2022-08-03,1.00044493646
2022-08-04,1.00274513646
2022-08-05,1.0092656397400002
2022-08-08,1.0090376995800001
2022-08-09,1.0103818071000001
2022-08-10,1.0073156071
2022-08-11,1.01502800004
2022-08-12,1.01263963488
2022-08-15,1.0115446348800001
2022-08-16,1.0110064390200002
2022-08-17,1.01402683902
2022-08-18,1.0124484390200001
2022-08-19,1.00984283902
2022-08-22,1.01098383902
2022-08-23,1.01153623902
2022-08-24,1.00379856542
2022-08-25,1.01819915462
2022-08-26,1.01698162918
2022-08-29,1.0149919371799998
2022-08-30,1.00301318326
2022-08-31,1.0028599832599998
2022-09-01,1.0027931832599999
2022-09-02,1.00232438326
2022-09-05,1.0047969462
2022-09-06,1.0087895461999998
2022-09-07,1.0089181461999999
2022-09-08,1.00795361232
2022-09-09,1.00943322444
2022-09-13,1.00820675658
2022-09-14,1.0055115824799998
2022-09-15,1.0077867824799998
2022-09-16,1.0007083824799996
2022-09-19,1.0004555824799997
2022-09-20,0.9991915824799997
2022-09-21,1.0009606155199997
2022-09-22,1.0012906155199996
2022-09-23,0.9981226155199998
2022-09-26,0.9958126155199998
2022-09-27,0.9989806155199997
2022-09-28,0.9940306155199997
2022-09-29,0.9946246155199998
2022-09-30,0.9914566155199998
2022-10-10,0.9880906155199998
2022-10-11,0.9884866155199997
2022-10-12,0.9926826351199998
2022-10-13,0.9934346351199997
2022-10-14,1.0010054327199998
2022-10-17,1.0009490327199997
2022-10-18,1.0011558327199999
2022-10-19,1.00081743272
2022-10-20,1.0004790327199997
2022-10-21,0.9995930101599998
2022-10-24,0.9877698101599999
2022-10-25,0.9791832341199999
2022-10-26,0.9840072464999999
2022-10-27,0.9833832464999999
2022-10-28,0.9768967881599999
2022-10-31,0.9778270129199998
2022-11-01,0.9834716129199998
2022-11-02,0.9856324129199998
2022-11-03,0.98612741292
2022-11-04,0.99263381292
2022-11-07,0.99142981292
2022-11-08,0.9899512129199999
2022-11-09,0.9876442129199998
2022-11-10,0.9853070129199999
2022-11-11,0.9884708129199998
2022-11-14,0.9888170129199999
2022-11-15,0.9964486129199999
2022-11-16,0.9931994129199998
2022-11-17,0.9943594129199999
2022-11-18,0.9925096129199998
2022-11-21,0.99123681292
2022-11-22,0.9883228129199998
2022-11-23,0.98784181292
2022-11-24,0.9869448129199998
2022-11-25,0.9856966129199999
2022-11-28,0.9835087770399998
2022-11-29,0.9871025770399999
2022-11-30,0.9867179770399999
2022-12-01,0.9883519770399999
2022-12-02,0.98798397704
2022-12-05,0.9900965770399999
2022-12-06,0.9899315770399999
2022-12-07,0.9899921770399999
2022-12-08,0.9897343770399999
2022-12-09,0.99026137704
2022-12-12,0.9885087770399998
2022-12-13,0.9871857445399999
2022-12-14,0.9870129283399999
2022-12-15,0.9863596138199999
2022-12-16,0.98571666054
2022-12-19,0.9823054605399999
2022-12-20,0.9784644784599998
2022-12-21,0.9783504784599999
2022-12-22,0.97888007846
2022-12-23,0.97801231014
2022-12-26,0.97898925456
2022-12-27,0.9814233927599998
2022-12-28,0.9797603577599998
2022-12-29,0.9791403003199999
2022-12-30,0.9797385003199999
2023-01-03,0.9812927003199998
2023-01-04,0.9802851003199998
2023-01-05,0.9854223003199998
2023-01-06,0.9871521003199999
2023-01-09,0.9885283003199998
2023-01-10,0.9898173003199998
2023-01-11,0.9879633131199999
2023-01-12,0.9888105075599998
2023-01-13,0.9930923075599999
2023-01-16,0.9971589330799999
2023-01-17,0.99768873308
2023-01-18,0.9971719330799999
2023-01-19,0.9997111330799998
2023-01-20,1.00025953308
2023-01-30,1.0010363330799998
2023-01-31,0.9991067330799999
2023-02-01,1.0018881330799998
2023-02-02,1.00020293308
2023-02-03,0.9979547330799999
2023-02-06,0.9941837791599999
2023-02-07,0.99413177916
2023-02-08,0.9934069898199998
2023-02-09,0.9991607898199998
2023-02-10,0.9968641898199998
2023-02-13,0.9988981898199999
2023-02-14,0.9990197898199998
2023-02-15,0.9989511898199999
2023-02-16,0.9948419898199998
2023-02-17,0.9890136938199999
2023-02-20,1.0009695367999998
2023-02-21,1.0027719367999999
2023-02-22,1.0021793367999998
2023-02-23,1.0014071367999997
2023-02-24,0.9998845367999999
2023-02-27,0.9972629922799999
2023-02-28,0.9990163922799999
2023-03-01,1.0009161922799998
2023-03-02,1.0017939922799999
2023-03-03,1.0040711922799999
2023-03-06,1.0041050644599998
2023-03-07,0.99844840068
2023-03-08,0.9979550006799999
2023-03-09,0.9975918422799999
2023-03-10,0.9928142881
2023-03-13,0.9957326880999999
2023-03-14,0.9942244157599999
2023-03-15,0.9923892718399998
2023-03-16,0.9907932718399999
2023-03-17,0.9937184431999999
2023-03-20,0.9942584431999999
2023-03-21,0.9939373948399998
2023-03-22,0.9944743867999998
2023-03-23,1.0006350418799996
2023-03-24,1.0017015041199997
2023-03-27,1.0017199723599999
2023-03-28,0.9972230311399998
2023-03-29,1.0010390311399997
2023-03-30,1.0016678311399996
2023-03-31,1.0049819927999997
2023-04-03,1.0139287100199996
2023-04-04,1.0143337100199996
2023-04-06,1.0153893100199995
2023-04-07,1.0187807100199997
2023-04-10,1.0147811100199995
2023-04-11,1.0146639100199997
2023-04-12,1.0156963100199996
2023-04-13,1.0112858501599995
2023-04-14,1.0130538501599995
2023-04-17,1.0155278501599996
2023-04-18,1.0148006501599995
2023-04-19,1.0127834111199996
2023-04-20,1.0119174111199996
2023-04-21,1.0068896660799997
2023-04-24,1.0063040660799996
2023-04-25,1.0034498841599997
2023-04-26,1.0038422841599997
2023-04-27,1.0042346841599996
2023-04-28,1.0078056296399998
2023-05-04,1.0109515096399997
2023-05-05,1.0111883224399998
2023-05-08,1.0159369992399998
2023-05-09,1.0145948040399997
2023-05-10,1.0096810568599996
2023-05-11,1.0099238720199997
2023-05-12,1.0071902720199997
2023-05-15,1.0096146791999998
2023-05-16,1.0087996493599998
2023-05-17,1.0077855548199997
2023-05-18,1.0064807548199997
2023-05-19,1.0064807548199997
2023-05-22,1.0063875548199996
2023-05-23,1.0038711548199997
2023-05-24,1.0034983548199996
2023-05-25,1.0035915548199996
2023-05-26,1.0017445485799996
2023-05-29,0.9997599467199997
2023-05-30,1.0026224091799996
2023-05-31,1.0032549762999996
2023-06-01,1.0055535642999995
2023-06-02,1.0060753415799994
2023-06-05,1.0058589415799997
2023-06-06,1.0012481415799996
2023-06-07,1.0011113415799995
2023-06-08,0.9993159054799996
2023-06-09,1.0071025342799997
2023-06-12,1.0087271699599996
2023-06-13,1.0152171699599997
2023-06-14,1.0199468960399996
